Title	URL	Assignees	Status
SM should be asked if questions are not beeing answered	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/15		Done
Recipient of message should be tagged	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/14		Done
Important documents, which are not commited in Github, should be saved in the Google Drive folder	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/13		In Progress
Troubleshooting and exchange of experiences related to docker in dev meeting	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/23		In Progress
Agreement on one formatter	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/24		In Progress
Update BOM if you add new packages	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/27		In Progress
Notify everyone about dev meetings by writing a slack message	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/26		In Progress
Start a thread in the slack gerneral channels for troubleshooting	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/25		In Progress
