Title	URL	Assignees	Status	Estimated size	Real size
Backend Module: API for requesting all or selected backup types for backup table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/157	flo0852	Awaiting Review	1	
Frontend Module: Filter backup table by backup type	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/154	flo0852	Awaiting Review	2	
Frontend: Email notification reciever list	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/87	chrisklg	Awaiting Review	3	
Frontend: Show selected filter values for bar chart diagramm	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/161	chrisklg	Awaiting Review	2	
Analysis Module: Time series analysis enhancement -  Parameterization	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/160	ddeli, heskil, Omega65536	In Progress	5	
Frontend Module: Filter backup size bar chart by backup type	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/155	chrisklg	In Progress	2	
Filter backups for Root backups	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/130	ddeli, Omega65536	In Progress	2	
Frontend Module: Alert Panel - Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/123	ddeli	In Progress	2	
Times in dump do not exactly match backend Database time	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/115	heskil, Omega65536	Sprint Backlog		
Fix Dev branch for next sprint	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/162	flo0852	Sprint Backlog		
Replace UUID with Save Set Name	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/106	engelharddirk	Feature Archive	3	3
Frontend Module: Filter bar chart by backup tasks	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/124	chrisklg	Feature Archive	5	5
Backend: Email notification reciever list	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/93	flo0852	Feature Archive	3	3
Frontend Module: Add task_id in the backup table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/132	flo0852	Feature Archive	2	2
Backend Module: Filter backup data by backup tasks id's	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/125	flo0852	Feature Archive	5	3
Analysis Module: Filter backup data by backup tasks id's	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/131	flo0852	Feature Archive	3	3
Github Action: Include Frontend Tests	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/101	ddeli	Feature Archive	1	1
Filter by Backup ID is broken	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/114	chrisklg	Feature Archive	3	1
Analysis Module: First Time Series Analysis Implemented	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/51	heskil	Feature Archive	5	8
Backend Module: Alert API - Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/122	chrisklg, ddeli	Feature Archive	3	5
Analysis Module: Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/107	Omega65536	Feature Archive	3	3
Test if github action blocks PR	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/96	ddeli	Feature Archive		
Bug: Fix local setup for every chip based system (Win, linux,  MacOS intel, MacOS arm)	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/88	ddeli	Feature Archive	5	8
Frontend: Alert Panel Component - Deactivate option	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/86	chrisklg	Feature Archive	3	3
Backend: Alert deactivation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/91	flo0852	Feature Archive	3	3
Frontend: Alert Panel for Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/85	chrisklg, ddeli	Feature Archive	1	3
Backend: Alert API - Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/84	flo0852	Feature Archive	5	5
Analysis Module: Rule Based Alert - Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/82	Omega65536	Feature Archive	3	3
Clean Up Task: Technical debt clean up	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/92	flo0852, heskil, Omega65536	Feature Archive	8	8
Unit & Integration Test Implementation Frontend	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/33	chrisklg, ddeli, engelharddirk, flo0852, heskil, Omega65536	Feature Archive	3	13
Github Actions: Backend and Analyzer Test Automation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/32	ddeli	Feature Archive	3	3
Homework: Build Documentation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/69	engelharddirk	Feature Archive	2	2
Improve local setup - Containerization: Analyzer Module + Database	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/74	ddeli, engelharddirk	Feature Archive	8	8
Analysis Module: First Rule Based Analysis Implemented	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/50	heskil, Omega65536	Feature Archive	5	3
Backend: Alert Handling	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/72	flo0852	Feature Archive	3	3
