Title	URL	Assignees	Status	Estimated size	Real size
Backend Module: Deprecation of storage fill alerts	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/259	flo0852	Awaiting Review	5	
Backend: Alert Overview Page: Matching Alerts with previous "same" alerts and display history	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/254	engelharddirk	Awaiting Review	3	
Frontend Module: Filter for Data Stores panel	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/207	flo0852	Awaiting Review	2	
Implement Analyzer run loading screen	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/239	chrisklg	Awaiting Review		
Frontend Module: Alert overview page with alert table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/209	chrisklg	Awaiting Review	5	
Backend Module: Alert Overview Page Severity Counter API	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/274	flo0852	Awaiting Review		
Frontend: Alert Overview Page: Matching Alerts with previous "same" alerts and display history	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/250	chrisklg	Awaiting Review	3	
Bugfix: Footer is fixed	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/260	ddeli	Awaiting Review	1	
Analyzer Module: Implement estimatated storage overflow time	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/203	heskil	In Progress	5	
Clean up: Frontend	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/253	flo0852	In Progress		
Clean up: Miscellaneous	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/266	flo0852	In Progress		
Clean up: Analyzer	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/264	flo0852	In Progress		
Clean up: Backend	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/265	engelharddirk, flo0852	In Progress		
Backend Module: Pie chart API for FE and Analysis Module	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/251	ddeli	In Progress		
Add Alert "Missing Backup"	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/221	Omega65536	In Progress	5	
Integration Test: Check wheather the live database can be integrated without any problems at runtime	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/213		Sprint Backlog	2	
Clean Up 3	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/212	flo0852	Feature Archive	5	
Find a date to give SEP a walkthrough of our system	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/206	Us3rname11	Feature Archive	2	
Frontend: Sidebar with Navigation for pages	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/174	chrisklg	Feature Archive	3	3
Frontend Module: Estimated storage overflow time displayed in Data Stores panel	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/205	ddeli	Feature Archive	2	2
Backend Module: Implement API for estimated storage overflow time	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/204	ddeli	Feature Archive	3	3
Bugfix: ignore null values for data-stores (Analyzer)	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/233	flo0852	Feature Archive	1	1
Create Testkonzept	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/230	flo0852	Feature Archive	2	2
Replace reoccuring storage fill alerts in the overview page	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/201	flo0852	Feature Archive	2	2
Backend/Frontend Module: Save all alert creation times and display creation times of storage fill alerts	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/208	flo0852	Feature Archive	3	2
Backend Module: Data and API for Alert overview page with alert table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/210	engelharddirk	Feature Archive	3	8
Frontend/Backend Module: Overview about total backups	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/195	flo0852	Feature Archive	3	3
Backend & Analyzer Module: Add schedule time to backend information for backup table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/173	engelharddirk, flo0852	Feature Archive	5	5
Fix and Update Docker Build	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/229	ddeli	Feature Archive	3	5
Clean up 2	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/181	engelharddirk, flo0852, heskil	Feature Archive	8	13
Update Glossary in Planning Document	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/189	flo0852	Feature Archive	2	1
Frontend, Analyzer, Backend: Storage Fill Element	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/188	flo0852	Feature Archive	5	5
Frontend module: Show schedule time of task in Frontend (creation time alert, backup table)	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/146	flo0852	Feature Archive	3	2
Frontened/Backend Module: About Info-Text Panel	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/196	flo0852	Feature Archive	2	2
Frontend Module: Refactor Homepage design	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/199	flo0852	Feature Archive	3	3
Backend Module: API to trigger analyzer module	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/214	flo0852	Feature Archive	2	2
Frontend Module: Trigger Analyzer manually per Button Click event	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/211	flo0852	Feature Archive	3	3
Research: Best way to use Time Series Analysis for Backup size alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/163	heskil, Omega65536	Feature Archive	3	2
Analysis Module: Time series analysis enhancement -  Parameterization	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/160	ddeli, heskil, Omega65536	Feature Archive	5	5
Analyisis & Backend Module: Improve creation time alert logic by using schedules	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/164	Omega65536	Feature Archive	3	5
Update GitHub Wiki	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/190	engelharddirk	Feature Archive	2	2
Frontend Module: Alert Panel - Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/123	ddeli	Feature Archive	2	3
Frontend: Show selected filter values for bar chart diagramm	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/161	chrisklg	Feature Archive	2	1
Frontend: Email notification reciever list	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/87	chrisklg	Feature Archive	3	3
Frontend Module: Filter backup size bar chart by backup type	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/155	chrisklg	Feature Archive	2	2
Times in dump do not exactly match backend Database time	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/115	heskil, Omega65536	Feature Archive		1
Frontend Module: Filter backup table by backup type	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/154	flo0852	Feature Archive	2	2
Backend Module: API for requesting all or selected backup types for backup table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/157	flo0852	Feature Archive	1	2
Filter backups for Root backups	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/130	ddeli, Omega65536	Feature Archive	2	3
Fix Dev branch for next sprint	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/162	ddeli, flo0852, Omega65536	Feature Archive		5
Replace UUID with Save Set Name	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/106	engelharddirk	Feature Archive	3	3
Frontend Module: Filter bar chart by backup tasks	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/124	chrisklg	Feature Archive	5	5
Backend: Email notification reciever list	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/93	flo0852	Feature Archive	3	3
Frontend Module: Add task_id in the backup table	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/132	flo0852	Feature Archive	2	2
Backend Module: Filter backup data by backup tasks id's	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/125	flo0852	Feature Archive	5	3
Analysis Module: Filter backup data by backup tasks id's	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/131	flo0852	Feature Archive	3	3
Github Action: Include Frontend Tests	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/101	ddeli	Feature Archive	1	1
Filter by Backup ID is broken	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/114	chrisklg	Feature Archive	3	1
Analysis Module: First Time Series Analysis Implemented	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/51	heskil	Feature Archive	5	8
Backend Module: Alert API - Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/122	chrisklg, ddeli	Feature Archive	3	5
Analysis Module: Backup Storage Fill Alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/107	Omega65536	Feature Archive	3	3
Test if github action blocks PR	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/96	ddeli	Feature Archive		
Bug: Fix local setup for every chip based system (Win, linux,  MacOS intel, MacOS arm)	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/88	ddeli	Feature Archive	5	8
Frontend: Alert Panel Component - Deactivate option	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/86	chrisklg	Feature Archive	3	3
Backend: Alert deactivation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/91	flo0852	Feature Archive	3	3
Frontend: Alert Panel for Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/85	chrisklg, ddeli	Feature Archive	1	3
Backend: Alert API - Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/84	flo0852	Feature Archive	5	5
Analysis Module: Rule Based Alert - Backup creation time alert	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/82	Omega65536	Feature Archive	3	3
Clean Up Task: Technical debt clean up	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/92	flo0852, heskil, Omega65536	Feature Archive	8	8
Unit & Integration Test Implementation Frontend	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/33	chrisklg, ddeli, engelharddirk, flo0852, heskil, Omega65536	Feature Archive	3	13
Github Actions: Backend and Analyzer Test Automation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/32	ddeli	Feature Archive	3	3
Homework: Build Documentation	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/69	engelharddirk	Feature Archive	2	2
Improve local setup - Containerization: Analyzer Module + Database	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/74	ddeli, engelharddirk	Feature Archive	8	8
Analysis Module: First Rule Based Analysis Implemented	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/50	heskil, Omega65536	Feature Archive	5	3
Backend: Alert Handling	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/72	flo0852	Feature Archive	3	3
Frontend: Blueprint Alert Panel	https://github.com/amosproj/amos2024ws02-backup-metadata-analyzer/issues/48	flo0852	Feature Archive	3	3
